,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Dominion,42,98,7.6,7.0,77920,99.9%
1,7 Wonders,25,60,7.8,10.0,84104,99.6%
2,Dominion: Seaside,22,-1,8.0,9.0,14447,99.3%
3,Race for the Galaxy: The Gathering Storm,20,-1,8.1,10.0,9575,99.0%
4,Race for the Galaxy,20,59,7.8,10.0,46293,99.0%
5,Dominion: Prosperity,20,-1,8.3,9.0,13433,99.0%
6,Arkham Horror,20,333,7.3,10.0,36754,99.0%
7,Fangs,19,924,6.8,8.0,7995,98.7%
8,Dominion: Intrigue,19,84,7.7,6.0,30066,98.7%
9,Shadow Hunters Expansion,17,-1,7.4,8.0,722,98.0%
10,7 Wonders: Manneken Pis,17,-1,6.8,7.0,2051,98.0%
11,Race for the Galaxy: Rebel vs Imperium,16,-1,7.9,9.0,5715,97.4%
12,Pandemic,15,99,7.6,7.0,101865,96.8%
13,Dominion: Cornucopia,11,-1,7.7,9.0,5662,92.0%
14,Fluxx,10,8877,5.7,7.0,15803,90.0%
15,7 Wonders: Leaders,9,-1,7.8,8.0,13462,87.4%
16,Ghost Stories,8,275,7.3,8.0,19378,84.1%
17,Arkham Horror: Dunwich Horror Expansion,8,-1,7.8,9.0,6201,84.1%
18,Dungeons & Dragons: Castle Ravenloft Board Game,7,766,7.0,8.0,8427,80.0%
19,Arkham Horror: Innsmouth Horror Expansion,7,-1,7.9,10.0,3306,80.0%
20,Space Alert,6,219,7.4,9.0,14751,74.8%
21,Dominion: Alchemy,6,-1,6.9,6.0,8092,74.8%
22,Arkham Horror: The King in Yellow Expansion,5,-1,7.6,7.0,4105,68.3%
23,Arkham Horror: Curse of the Dark Pharaoh Expansion,5,-1,7.3,4.0,3521,68.3%
24,Zombie Dice,4,2090,6.2,8.0,16146,60.1%
25,Ticket to Ride: Märklin,4,309,7.4,7.0,8709,60.1%
26,Sentinels of the Multiverse,4,398,7.2,10.0,14738,60.1%
27,Puerto Rico,4,28,8.0,9.0,63032,60.1%
28,Carcassonne,4,181,7.4,8.0,101546,60.1%
29,7 Wonders: Cities,4,-1,7.8,9.0,9838,60.1%
30,Pandemic: On the Brink,3,-1,8.1,7.0,16131,49.8%
31,Kingsburg,3,354,7.2,7.0,18324,49.8%
32,Ghost Stories: The Guardhouse Expansion,3,-1,7.4,8.0,562,49.8%
33,Carcassonne: Expansion 1 – Inns & Cathedrals,3,-1,7.6,8.0,19773,49.8%
34,Apples to Apples,3,4760,5.8,6.0,17556,49.8%
35,Android: Netrunner,3,53,7.9,6.0,26700,49.8%
36,Taboo,2,1924,6.3,7.0,10479,36.9%
37,Small World,2,255,7.3,8.0,61593,36.9%
38,Saint Petersburg,2,303,7.3,8.0,14518,36.9%
39,Race for the Galaxy: The Brink of War,2,-1,7.8,9.0,3439,36.9%
40,Lost Cities,2,322,7.2,9.0,37164,36.9%
41,The Lord of the Rings,2,876,6.8,5.0,14258,36.9%
42,Kingsburg: To Forge a Realm,2,-1,7.9,7.0,4148,36.9%
43,Illimat,2,2643,7.4,6.0,656,36.9%
44,Hansa Teutonica,2,139,7.6,9.0,11425,36.9%
45,Dominion: Stash Promo Card,2,-1,7.3,5.0,2176,36.9%
46,Dominion: Envoy Promo Card,2,-1,7.2,8.0,3237,36.9%
47,Dominion: Black Market Promo Card,2,-1,7.1,8.0,3490,36.9%
48,Chess,2,439,7.1,7.0,28655,36.9%
49,Carcassonne: The River II,2,-1,7.2,7.0,4234,36.9%
50,Carcassonne: The Count of Carcassonne,2,-1,6.0,6.0,3200,36.9%
51,Carcassonne: King & Scout,2,-1,6.6,7.0,3802,36.9%
52,Arkham Horror: The Lurker at the Threshold Expansion,2,-1,7.8,8.0,2158,36.9%
53,Arkham Horror: The Black Goat of the Woods Expansion,2,-1,7.5,8.0,2607,36.9%
54,Agricola,2,31,7.9,7.0,63367,36.9%
55,Sentinels of the Multiverse: Rook City – The Wraith Promo Card,1,-1,7.6,7.0,171,20.5%
56,Pictionary,1,4640,5.8,6.0,6898,20.5%
57,Mansions of Madness,1,382,7.3,7.0,12741,20.5%
58,Lords of Waterdeep,1,71,7.8,7.0,45819,20.5%
59,Diamant,1,718,6.8,7.0,17037,20.5%
60,HeroQuest,1,574,7.1,7.0,10977,20.5%
61,Hansa Teutonica: East Expansion,1,-1,8.1,8.0,855,20.5%
62,Dog Eat Dog,1,19087,5.2,6.0,133,20.5%
63,Condottiere,1,844,6.8,8.0,8591,20.5%
64,Carcassonne: Expansion 2 – Traders & Builders,1,-1,7.6,7.0,15539,20.5%
65,Carcassonne: Expansion 4 – The Tower,1,-1,6.6,8.0,5330,20.5%
66,8 1/2,1,18811,5.0,6.0,78,20.5%
67,The Totally Insane Card Game,0,14207,6.0,-1.0,63,0.0%
68,TieBreaker,0,13712,5.8,-1.0,114,0.0%
69,Terraforming Mars,0,4,8.4,9.0,64485,0.0%
70,Tales of the Arabian Nights,0,435,7.2,7.0,11564,0.0%
71,Start Player Express,0,9016,6.5,-1.0,107,0.0%
72,Star Realms,0,115,7.6,6.0,35855,0.0%
73,Star Fluxx,0,2155,6.4,-1.0,4929,0.0%
74,Spirit Island,0,13,8.3,10.0,25448,0.0%
75,Space Alert: The New Frontier,0,-1,8.5,-1.0,1076,0.0%
76,Small World: Tales and Legends,0,-1,7.2,7.0,3266,0.0%
77,Small World: Necromancer Island,0,-1,6.7,-1.0,1521,0.0%
78,Small World: Leaders of Small World,0,-1,6.6,6.0,1391,0.0%
79,Small World: Grand Dames of Small World,0,-1,7.4,8.0,5551,0.0%
80,Small World: Cursed!,0,-1,7.5,8.0,5720,0.0%
81,Small World: Be Not Afraid...,0,-1,7.6,8.0,5286,0.0%
82,Shut the Box,0,20188,5.1,-1.0,1184,0.0%
83,The Settlers of Catan: The Great River,0,-1,6.0,-1.0,967,0.0%
84,The Settlers of Catan: The Fishermen of Catan,0,-1,7.1,-1.0,1067,0.0%
85,Catan: Seafarers – 5-6 Player Extension,0,-1,7.0,6.0,3924,0.0%
86,Catan: Seafarers,0,-1,7.2,7.0,16346,0.0%
87,Catan: Cities & Knights – 5-6 Player Extension,0,-1,7.1,8.0,3618,0.0%
88,Catan: Cities & Knights,0,-1,7.5,9.0,17116,0.0%
89,Catan: 5-6 Player Extension,0,-1,7.0,7.0,14665,0.0%
90,Catan,0,395,7.2,8.0,101212,0.0%
91,SET,0,1438,6.5,-1.0,10813,0.0%
92,Sentinels of the Multiverse: Young Legacy Promo Card,0,-1,8.1,7.0,157,0.0%
93,Sentinels of the Multiverse: Wrath of the Cosmos,0,-1,8.3,-1.0,940,0.0%
94,Sentinels of the Multiverse: Wager Master Villain Character,0,-1,7.5,-1.0,387,0.0%
95,Sentinels of the Multiverse: Vengeance,0,-1,7.9,7.0,1393,0.0%
96,Sentinels of the Multiverse: Unity Hero Character,0,-1,8.0,8.0,970,0.0%
97,Sentinels of the Multiverse: The Super Scientific Tachyon Promo Card,0,-1,8.2,6.0,126,0.0%
98,Sentinels of the Multiverse: The Scholar Hero Character,0,-1,7.9,7.0,862,0.0%
