,Game,Rating,Last Played,Days Since Last Play
0,Creepers,2.0,,0
1,Crokinole,0.0,,0
2,Machi Koro,0.0,,0
3,Yomi,0.0,,0
4,ZÈRTZ,0.0,,0
5,Kingsburg,0.0,,0
6,Keltis: Das Orakel,0.0,,0
7,Mystic Vale,0.0,,0
8,Hive,0.0,,0
9,Tao Long: The Way of the Dragon,0.0,,0
10,Havana,0.0,,0
11,The Lord of the Rings: Journeys in Middle-Earth,0.0,,0
12,The Faceless,0.0,,0
13,Bunny Kingdom,0.0,,0
14,Santorini,0.0,,0
15,Bios:Genesis,0.0,,0
16,Water Lily,0.0,,0
17,Viticulture,0.0,,0
18,Meeple War,0.0,,0
19,Gipsy King,0.0,,0
